,date,HT,MT,bdpocdiscipline
165,03/04/0002,5,1,DECK
166,03/04/0002,6,1,E&I
167,03/04/0002,5,1,MECH
168,03/04/0002,13,2,PROD
169,03/04/0002,2,0,RES
170,04/04/0002,5,1,DECK
171,04/04/0002,6,1,E&I
172,04/04/0002,5,1,MECH
173,04/04/0002,13,2,PROD
174,04/04/0002,2,0,RES
175,05/04/0002,5,1,DECK
176,05/04/0002,6,1,E&I
177,05/04/0002,5,1,MECH
178,05/04/0002,13,2,PROD
179,05/04/0002,2,0,RES
180,06/04/0002,5,1,DECK
181,06/04/0002,6,1,E&I
182,06/04/0002,5,1,MECH
183,06/04/0002,13,2,PROD
184,06/04/0002,2,0,RES
185,07/04/0002,5,1,DECK
186,07/04/0002,8,1,E&I
187,07/04/0002,5,1,MECH
188,07/04/0002,13,2,PROD
189,07/04/0002,2,0,RES
190,08/04/0002,5,1,DECK
191,08/04/0002,8,1,E&I
192,08/04/0002,5,1,MECH
193,08/04/0002,13,2,PROD
194,08/04/0002,2,0,RES
195,09/04/0002,5,1,DECK
196,09/04/0002,8,1,E&I
197,09/04/0002,5,1,MECH
198,09/04/0002,13,2,PROD
199,09/04/0002,2,0,RES
200,10/04/0002,5,1,DECK
201,10/04/0002,8,1,E&I
202,10/04/0002,5,1,MECH
203,10/04/0002,13,2,PROD
204,10/04/0002,2,0,RES
205,11/04/0002,5,1,DECK
206,11/04/0002,8,1,E&I
207,11/04/0002,5,1,MECH
208,11/04/0002,13,2,PROD
209,11/04/0002,2,0,RES
210,12/04/0002,5,1,DECK
211,12/04/0002,8,1,E&I
212,12/04/0002,5,1,MECH
213,12/04/0002,13,2,PROD
214,12/04/0002,2,0,RES
215,13/04/0002,5,1,DECK
216,13/04/0002,8,1,E&I
217,13/04/0002,5,1,MECH
218,13/04/0002,13,2,PROD
219,13/04/0002,2,0,RES
220,14/04/0002,4,1,DECK
221,14/04/0002,7,1,E&I
222,14/04/0002,5,1,MECH
223,14/04/0002,13,2,PROD
224,14/04/0002,2,0,RES
225,15/04/0002,4,1,DECK
226,15/04/0002,7,1,E&I
227,15/04/0002,5,1,MECH
228,15/04/0002,13,2,PROD
229,15/04/0002,2,0,RES
230,16/04/0002,4,1,DECK
231,16/04/0002,7,1,E&I
232,16/04/0002,5,1,MECH
233,16/04/0002,13,2,PROD
234,16/04/0002,2,0,RES
235,17/04/0002,4,1,DECK
236,17/04/0002,7,1,E&I
237,17/04/0002,5,1,MECH
238,17/04/0002,13,2,PROD
239,17/04/0002,2,0,RES
240,18/04/0002,4,1,DECK
241,18/04/0002,7,1,E&I
242,18/04/0002,5,1,MECH
243,18/04/0002,13,2,PROD
244,18/04/0002,2,0,RES
245,19/04/0002,4,1,DECK
246,19/04/0002,7,1,E&I
247,19/04/0002,5,1,MECH
248,19/04/0002,13,2,PROD
249,19/04/0002,2,0,RES
250,20/04/0002,4,1,DECK
251,20/04/0002,7,1,E&I
252,20/04/0002,5,1,MECH
253,20/04/0002,13,2,PROD
254,20/04/0002,2,0,RES
255,21/04/0002,4,1,DECK
256,21/04/0002,7,1,E&I
257,21/04/0002,5,1,MECH
258,21/04/0002,14,2,PROD
259,21/04/0002,2,0,RES
260,22/04/0002,4,1,DECK
261,22/04/0002,7,1,E&I
262,22/04/0002,5,1,MECH
263,22/04/0002,14,2,PROD
264,22/04/0002,2,0,RES
265,23/04/0002,4,1,DECK
266,23/04/0002,7,1,E&I
267,23/04/0002,5,1,MECH
268,23/04/0002,14,2,PROD
269,23/04/0002,2,0,RES
270,24/04/0002,4,1,DECK
271,24/04/0002,7,1,E&I
272,24/04/0002,5,1,MECH
273,24/04/0002,14,2,PROD
274,24/04/0002,2,0,RES
275,25/04/0002,4,1,DECK
276,25/04/0002,7,1,E&I
277,25/04/0002,5,1,MECH
278,25/04/0002,14,2,PROD
279,25/04/0002,2,0,RES
