,wonum,parent,priority,site,bdpocdiscipline,estdur,targstartdate,targcompdate,r_estdur
505,H13827789,H13827784,1,HT,E&I,5.0,01/03/0002,30/04/0002,1
506,H13827794,H13827784,1,HT,E&I,5.0,01/03/0002,30/04/0002,1
507,H13827799,H13827784,1,HT,E&I,5.0,01/03/0002,30/04/0002,1
508,H13827804,H13827784,1,HT,E&I,5.0,01/03/0002,30/04/0002,1
509,H13827809,H13827784,1,HT,E&I,5.0,01/03/0002,30/04/0002,1
510,H13827814,H13827784,1,HT,E&I,5.0,01/03/0002,30/04/0002,1
511,H13827819,H13827784,1,HT,E&I,5.0,01/03/0002,30/04/0002,1
512,H13827824,H13827784,1,HT,E&I,5.0,01/03/0002,30/04/0002,1
513,H13827829,,1,HT,E&I,10.0,01/03/0002,30/04/0002,1
514,H13827833,H13827829,1,HT,E&I,1.11111111111111,01/03/0002,30/04/0002,1
515,H13827837,H13827829,1,HT,E&I,1.11111111111111,01/03/0002,30/04/0002,1
516,H13827841,H13827829,1,HT,E&I,1.11111111111111,01/03/0002,30/04/0002,1
517,H13827845,H13827829,1,HT,E&I,1.11111111111111,01/03/0002,30/04/0002,1
518,H13827849,H13827829,1,HT,E&I,1.11111111111111,01/03/0002,30/04/0002,1
519,H13827853,H13827829,1,HT,E&I,1.11111111111111,01/03/0002,30/04/0002,1
520,H13827857,H13827829,1,HT,E&I,1.11111111111111,01/03/0002,30/04/0002,1
521,H13827861,H13827829,1,HT,E&I,1.11111111111111,01/03/0002,30/04/0002,1
522,H13827865,H13827829,1,HT,E&I,1.11111111111111,01/03/0002,30/04/0002,1
523,H13827869,,1,HT,E&I,24.0,01/03/0002,30/04/0002,3
524,H13827871,H13827869,1,HT,E&I,4.8,01/03/0002,30/04/0002,1
525,H13827873,H13827869,1,HT,E&I,4.8,01/03/0002,30/04/0002,1
526,H13827875,H13827869,1,HT,E&I,4.8,01/03/0002,30/04/0002,1
527,H13827877,H13827869,1,HT,E&I,4.8,01/03/0002,30/04/0002,1
528,H13827879,H13827869,1,HT,E&I,4.8,01/03/0002,30/04/0002,1
529,H13827881,,1,HT,E&I,10.0,01/03/0002,30/04/0002,1
